Review,FACILITIES#CLEANLINESS,FACILITIES#COMFORT,FACILITIES#DESIGN&FEATURES,FACILITIES#GENERAL,FACILITIES#MISCELLANEOUS,FACILITIES#PRICES,FACILITIES#QUALITY,FOOD&DRINKS#MISCELLANEOUS,FOOD&DRINKS#PRICES,FOOD&DRINKS#QUALITY,FOOD&DRINKS#STYLE&OPTIONS,HOTEL#CLEANLINESS,HOTEL#COMFORT,HOTEL#DESIGN&FEATURES,HOTEL#GENERAL,HOTEL#MISCELLANEOUS,HOTEL#PRICES,HOTEL#QUALITY,LOCATION#GENERAL,ROOMS#CLEANLINESS,ROOMS#COMFORT,ROOMS#DESIGN&FEATURES,ROOMS#GENERAL,ROOMS#MISCELLANEOUS,ROOMS#PRICES,ROOMS#QUALITY,ROOM_AMENITIES#CLEANLINESS,ROOM_AMENITIES#COMFORT,ROOM_AMENITIES#DESIGN&FEATURES,ROOM_AMENITIES#GENERAL,ROOM_AMENITIES#MISCELLANEOUS,ROOM_AMENITIES#PRICES,ROOM_AMENITIES#QUALITY,SERVICE#GENERAL
"Khách sạn ngay trung tâm, gần với những địa ăn uống và các địa danh du lịch.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thái độ phục vụ ân cần, nhiệt tình.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Nói chung, khách sạn rất tốt nên tôi thường lựa chọn khách sạn này để làm điểm nghỉ ngơi.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chất lượng dịch vụ tại khách sạn tôi hoàn toàn hài lòng, chất lượng dịch vụ xứng đáng với giá tiền tôi đã bỏ ra.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Nhân viên thân thiện và nhiệt tình giúp hộ tôi mang hành lý vào trong, thủ tục nhận phòng rất nhanh.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Phòng sạch sẽ và có của sổ khá thoáng mát, nhìn chung tôi rất hài lòng.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Khách Sạn TTC Hotel Premium Ngọc Lan Ngọc Lan Đà Lạt ngày trước tôi có thường đặt phòng ở đây, theo tôi thấy thì nhân viên của khách sạn phục vụ tốt, phòng ở rộng và thoáng.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"Tuy nhiên so với ngày trước tôi ở đây thì tôi thấy khách sạn đã cũ và xuống cấp nhiều, sàn gỗ cũ và nhám.",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NỆm trong phòng bị lún xuống nên buổi sáng thức dậy khá mệt mỏi.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
Đội ngũ nhân viên của khách sạn lịch sự đón tiếp khách hàng.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Khách Sạn TTC Hotel Premium Ngọc Lan tốt, tổ chức bữa sáng rất đa dạng, món ăn khá ngon.",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nhân viên phục vụ ân cần, lịch sự.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Duy chỉ mỗi tội là phòng chỉ có lò sưởi mà không có điều hoà hay quạt máy trong khi Đà Lạt mùa này nóng.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Khách Sạn TTC Hotel Premium Ngọc Lan Ngọc Lan Đà Lạt cung cấp dịch vụ khá tốt.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vị trí thuận tiện đi lại, tham quan.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tôi đi tới Đà Lạt cũng rất nhiều lần, nay tôi chọn khách sạn này làm nơi dừng chân của tôi sau chuyến đi dài.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nhân viên ở đây chào đón tôi rất nhiệt tình và thân thiện, phòng ốc sạch sẽ tiện nghi bên trong đầy đủ.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Tôi cảm thấy hài lòng về chất lượng dịch vụ tại khách sạn này.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Chất lượng của Khách Sạn TTC Hotel Premium Ngọc Lan Ngọc Lan Đà Lạt không có gì khiến tôi phải phàn nàn cả.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chất lượng dịch vụ tương đối tốt, phòng ốc được chú trọng về vệ sinh sạch sẽ, tiện nghi phòng ốc đầy đủ.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Khách sạn nằm gần trung tâm lại thuận tiện cho việc đi lại, tôi hài lòng tuyệt đối khi nghỉ ngơi nơi đây.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sau khi nghỉ ngơi tại Khách Sạn TTC Hotel Premium Ngọc Lan, tôi cảm thấy khá hài lòng và không có gì phàn nàn.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Khách Sạn TTC Hotel Premium Ngọc Lan đi bộ ra chợ Đà Lạt tầm 5 phút thôi, vị trí nhìn chung thuận tiện đi lại.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thời gian mà tôi nghỉ ngơi tại đây tôi cảm thấy khá hài lòng về chất lượng dịch vụ nơi đây.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Khách sạn tốt, thức ăn ngon, nhân viên thân thiện.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Đợt vừa rồi, tôi chọn đặt phòng tại Khách Sạn TTC Hotel Premium Ngọc Lan Ngọc Lan Đà Lạt cho bạn của mình.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Khách sạn này cũng tương đối được, mọi thứ tiện nghi ở đây cũng đầy đủ.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nhân viên mọi người ở đây thân thiện và nhiệt với tôi.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Phòng ốc sạch sẽ không có mùi hôi hay ẩm mốc gì cả, tôi hài lòng.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phòng ở đẹp, khung cảnh đẹp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chất lượng phòng ốc rất tốt, từ nhân viên cho tới lễ tân mọi người ở đây khá thân thiện và nhiệt tình.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Phòng ốc cũng tương đối tốt, khăn tắm sạch sẽ, còn mới không có quá cũ.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
"Bữa sáng ở khách sạn này làm tôi rất hài lòng, bài trí rất đẹp hợp vệ sinh.",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiết kế phòng ốc trang nhã.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ai nấy đều thể hiện được sự chu đáo và lịch thiệp cả.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Về cơ sở vật chất của Khách Sạn TTC Hotel Premium Ngọc Lan, tôi thầy khá tốt.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chỉ được cái là view đẹp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ngoài ra chả có gì đặt biệt.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chất lượng khách sạn ở đây khá tốt, nhân viên vui vẻ, thân thiện.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Vị trí khách sạn nằm ngay trung tâm, khó khăn lại phải đi xuống 2 cái dốc mới ra đến chợ, trẻ em đi theo khá bất tiện.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rất hài lòng khi ở khách sạn Ngọc Lan Đà Lạt.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trang thiết bị hoạt động tốt, thiết kế nội thất trang nhã.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Nếu xét về tổng quan, tôi đã có những trải nghiệm thú vị khi ở Khách Sạn TTC Hotel Premium Ngọc Lan.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phòng ốc đạt tiêu chuẩn, rộng rãi, thoáng mát, trang bị đầy đủ tiện nghi.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
"Bữa sáng ngon, phù hợp khẩu vị với cá nhân tôi.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thông qua mytour tôi có đặt phòng cho người thân nghỉ ngơi tại khách sạn TTC Hotel Premium Ngọc Lan Ngọc Lan Đà Lạt và khi về thì họ hài lòng về mọi thứ từ dịch vụ phòng ốc, trang thiết bị đi kèm đến đội ngũ nhân viên phục vụ cũng như vấn đề ăn uống, đi lại và giá cả.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Mọi dịch vụ tôi thấy đều có chất lượng tốt.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Không gặp vấn đề gì để phải phàn nàn cả.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tất cả đều ok, trừ việc phòng không cách âm và ăn sáng không được đa dạng.",0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Nhìn chung các dịch vụ đều tốt, từ hệ thống phòng ốc, trang thiết bị, thái độ của nhân viên dịch vụ ăn sáng và sử dụng hồ bơi đều tốt.",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
"Sau khi ở Khách Sạn TTC Hotel Premium Ngọc Lan Ngọc Lan Đà Lạt về thì tôi đánh giá khách sạn này cũng được, phòng ốc sạch sẽ, gọn gàng, đầy đủ tiện nghi.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Tuy nhiên, buffet hơi ít món.",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Không khí tại Khách Sạn TTC Hotel Premium Ngọc Lan Ngọc Lan Đà Lạt trong lành, thoáng mát.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theo tôi đây là khách sạn 4  sao tốt nhất ở trung tâm đà lạt.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phòng ốc đẹp ấm cúng, nhân viên thân thiện, ăn sáng ngon.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"Phòng gọn gàng và sạch sẽ, nhân viên hỗ trợ tốt.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Theo ý kiến khách quan của tôi thì tôi thấy chất lượng dịch vụ Khách Sạn TTC Hotel Premium Ngọc Lan này tốt và phù hợp với giá tiền mà tôi bỏ ra.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bước vô phòng tôi cảm nhận ngay được sự sạch sẽ.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Các bạn nhân viên phục vụ tại khách sạn TTC Hotel Premium Ngọc Lan Ngọc Lan Đà Lạt có thái độ tốt và nhiệt tình nhưng về hệ thống phòng ốc thì bị xuống cấp so với một năm trước tôi đi.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
"Phòng thì cũ kỹ, tiện nghi cũng cũ, ăn uống thì ở mức tạm chấp nhận.",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
Vị trí được cái đi lại thuận tiện nhưng giá cả thì không hợp lý.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tôi nhận thấy khách sạn này đang cung cấp những dịch vụ có chất lượng tốt đến khách hàng.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Điểm trừ cho phòng tôi ở là sàn gỗ nên có tiếng kêu.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Nhà tôi đi về thấy rất thích nơi này.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vị trí khách sạn cũng thuận tiện đi lại, giá cả hợp lý.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chất lượng phòng tốt, rộng rãi, sạch sẽ, gọn gàng.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Khi đến nghỉ ngơi Khách Sạn TTC Hotel Premium Ngọc Lan tôi cũng không phải phàn nàn gì, phòng nghỉ đạt chuẩn, khâu vệ sinh được chú trọng.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Địa điểm thuận tiện đi lại.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hoàn toàn hài lòng về dịch vụ của khách sạn TTC Hotel Premium Ngọc Lan Ngọc Lan Đà Lạt sau khoảng thời gian nghỉ ngơi tại đây vừa qua.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Phòng ốc trang bị đầy đủ tiện nghi, vệ sinh thì sạch sẽ.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Nhân viên thân thiện và tươi cười với khách.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Còn ăn uống thì ngon miệng, vị trí di chuyển thuận tiện và giá cả hợp lý.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vị trí toạ lạc của khách sạn TTC Hotel Premium Ngọc Lan Ngọc Lan Đà Lạt gần trung tâm nên đi lại khá dễ dàng.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"khách sạn tốt, phòng ấm cúng, nhưng giường hơi nhỏ chỉ có 1.6 M.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Vị trí trung tâm ngay chợ đà lạt.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Khách Sạn TTC Hotel Premium Ngọc Lan có phòng ốc ok, đạt tiêu chuẩn, rộng rãi, thoáng mát, mang lại cho tôi cảm giác khá thoải mái.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Sẽ trở lại nơi đây nếu có dịp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tôi có dịp nghỉ ngơi tại Khách Sạn TTC Hotel Premium Ngọc Lan.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nhìn chung thì tôi thấy dịch vụ ở đây ok.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Phòng đạt tiêu chuẩn, sạch sẽ, gọn gàng, tươm tất.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Phòng đạt tiêu chuẩn, rộng rãi, thoáng mát, tiện nghi, mang lại cho tôi cảm giác khá thoải mái.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"Phòng ốc thì dọn dẹp ngăn nắp và sạch sẽ, nhân viên thái độ vui vẻ, niềm nở cũng như vị trí đi lại thuận tiện và giá cả phù hợp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tôi sẵn sàng đánh giá cho Khách Sạn TTC Hotel Premium Ngọc Lan điểm số tối đa.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bởi vì sự nhiệt tình, chu đáo trong cách phục vụ, hỗ trợ tôi.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cộng thêm dịch vụ phòng ở đạt yêu cầu và địa thế toạ lạc đắc địa.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Phong cách phục vụ chu đáo, lịch thiệp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Phòng ốc đẹp, vệ sinh sạch sẽ, gọn gàng, tươm tất và nhân viên cũng rất vui vẻ, nhiệt tình.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"Đội ngũ nhân viên phục vụ chuyên nghiệp, vui vẻ đến vị trí thuận tiện đi lại, vấn đề ăn uống ổn cũng như giá cả hợp lý.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cung cách các bạn nhân viên nơi này phục vụ khách hàng thân thiện.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Khâu vệ sinh được chú ý sạch sẽ, sắp xếp gọn gàng.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vị trí Khách Sạn cũng thuận tiện đi lại.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trừ điểm này ra thì còn lại các dịch vụ khác đều ổn từ vệ sinh, tiện nghi phòng ốc đến nhân viên phục vụ cũng như vị trí, ăn uống, đi lại và giá cả.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
